ID,Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
236,2025-03-01 20:07:03,2219080,4620948,67.5574
237,2025-03-01 20:07:06,2218228,4620956,67.5659
238,2025-03-01 20:07:09,2218664,4620956,67.5616
239,2025-03-01 20:07:12,2218436,4620964,67.5639
240,2025-03-01 20:07:15,2218216,4620964,67.5661
241,2025-03-01 20:07:18,2217464,4620972,67.5735
242,2025-03-01 20:07:21,2218452,4620972,67.5638
243,2025-03-01 20:07:24,2218104,4620980,67.5672
244,2025-03-01 20:07:27,2217096,4620980,67.5772
245,2025-03-01 20:07:31,2217704,4620988,67.5712
246,2025-03-01 20:07:34,2218136,4620988,67.5670
247,2025-03-01 20:07:37,2217064,4620996,67.5776
248,2025-03-01 20:07:40,2217220,4620996,67.5760
249,2025-03-01 20:07:43,2217712,4620996,67.5712
250,2025-03-01 20:07:46,2217716,4621004,67.5712
251,2025-03-01 20:07:49,2217736,4621004,67.5710
252,2025-03-01 20:07:52,2218112,4621012,67.5673
253,2025-03-01 20:07:55,2217636,4621012,67.5720
254,2025-03-01 20:07:58,2217800,4621020,67.5704
255,2025-03-01 20:08:01,2218280,4621020,67.5657
256,2025-03-01 20:08:04,2218304,4621028,67.5655
257,2025-03-01 20:08:07,2218556,4621032,67.5630
258,2025-03-01 20:08:10,2219500,4621040,67.5537
259,2025-03-01 20:08:13,2219428,4621040,67.5544
260,2025-03-01 20:08:16,2219968,4621048,67.5491
261,2025-03-01 20:08:19,2221500,4625308,67.5542
262,2025-03-01 20:08:22,2219788,4625428,67.5717
263,2025-03-01 20:08:25,2219608,4625440,67.5735
264,2025-03-01 20:08:28,2219532,4625440,67.5743
265,2025-03-01 20:08:31,2219884,4625448,67.5708
266,2025-03-01 20:08:34,2219832,4625448,67.5713
267,2025-03-01 20:08:37,2218960,4625456,67.5800
268,2025-03-01 20:08:40,2219204,4625456,67.5776
269,2025-03-01 20:08:43,2218448,4625464,67.5851
270,2025-03-01 20:08:47,2218716,4625464,67.5824
271,2025-03-01 20:08:50,2218424,4625472,67.5854
272,2025-03-01 20:08:53,2217976,4625472,67.5898
273,2025-03-01 20:08:56,2217784,4625480,67.5917
274,2025-03-01 20:08:59,2217556,4625480,67.5940
275,2025-03-01 20:09:02,2217280,4625480,67.5967
276,2025-03-01 20:09:05,2217440,4625488,67.5952
277,2025-03-01 20:09:08,2217464,4625488,67.5949
278,2025-03-01 20:09:11,2217528,4625496,67.5943
279,2025-03-01 20:09:14,2217024,4625496,67.5993
280,2025-03-01 20:09:17,2217292,4625504,67.5967
281,2025-03-01 20:09:20,2218240,4625504,67.5873
282,2025-03-01 20:09:23,2217788,4625504,67.5918
283,2025-03-01 20:09:26,2218300,4625512,67.5868
284,2025-03-01 20:09:29,2218428,4625520,67.5856
285,2025-03-01 20:09:32,2219072,4625520,67.5792
286,2025-03-01 20:09:35,2218852,4625520,67.5814
287,2025-03-01 20:09:38,2219312,4625528,67.5769
288,2025-03-01 20:09:41,2219816,4625528,67.5719
289,2025-03-01 20:09:44,2219888,4625536,67.5712
290,2025-03-01 20:09:47,2219892,4625536,67.5712
291,2025-03-01 20:09:50,2219356,4625544,67.5765
292,2025-03-01 20:09:53,2219328,4625544,67.5768
293,2025-03-01 20:09:56,2219296,4625556,67.5772
294,2025-03-01 20:09:59,2219556,4625556,67.5746
295,2025-03-01 20:10:02,2219808,4625564,67.5721
296,2025-03-01 20:10:06,2220036,4625564,67.5699
297,2025-03-01 20:10:09,2220196,4625572,67.5683
298,2025-03-01 20:10:12,2220028,4625572,67.5700
299,2025-03-01 20:10:15,2220560,4625580,67.5648
300,2025-03-01 20:10:18,2220844,4625580,67.5620
301,2025-03-01 20:10:21,2219928,4625580,67.5710
302,2025-03-01 20:10:24,2220276,4625588,67.5676
303,2025-03-01 20:10:27,2219692,4625588,67.5734
304,2025-03-01 20:10:30,2219812,4625600,67.5723
305,2025-03-01 20:10:33,2219176,4625600,67.5785
306,2025-03-01 20:10:36,2219548,4625608,67.5749
307,2025-03-01 20:10:39,2219524,4625608,67.5751
308,2025-03-01 20:10:42,2219264,4625616,67.5778
309,2025-03-01 20:10:45,2219036,4625616,67.5800
310,2025-03-01 20:10:48,2218788,4625616,67.5825
311,2025-03-01 20:10:51,2218516,4625624,67.5852
312,2025-03-01 20:10:54,2218296,4625632,67.5874
313,2025-03-01 20:10:57,2218248,4625632,67.5879
314,2025-03-01 20:11:00,2218272,4625636,67.5876
315,2025-03-01 20:11:03,2217520,4625636,67.5951
316,2025-03-01 20:11:06,2217292,4625644,67.5974
317,2025-03-01 20:11:09,2217384,4625644,67.5964
318,2025-03-01 20:11:12,2218044,4625652,67.5900
319,2025-03-01 20:11:16,2217088,4625652,67.5994
320,2025-03-01 20:11:19,2217068,4625660,67.5996
321,2025-03-01 20:11:22,2217536,4625660,67.5950
322,2025-03-01 20:11:25,2216660,4625660,67.6037
323,2025-03-01 20:11:28,2217396,4625668,67.5964
324,2025-03-01 20:11:31,2217216,4625668,67.5982
325,2025-03-01 20:11:34,2217488,4625668,67.5955
326,2025-03-01 20:11:37,2217452,4625676,67.5959
327,2025-03-01 20:11:40,2217704,4625684,67.5935
328,2025-03-01 20:11:43,2217392,4625684,67.5966
329,2025-03-01 20:11:46,2217564,4625684,67.5949
330,2025-03-01 20:11:49,2218128,4625692,67.5893
331,2025-03-01 20:11:52,2218720,4625700,67.5835
332,2025-03-01 20:11:55,2219088,4625700,67.5799
333,2025-03-01 20:11:58,2219940,4625708,67.5715
334,2025-03-01 20:12:01,2219972,4625708,67.5712
335,2025-03-01 20:12:04,2220244,4625708,67.5685
336,2025-03-01 20:12:07,2220520,4625716,67.5658
337,2025-03-01 20:12:10,2220816,4625728,67.5630
338,2025-03-01 20:12:13,2219968,4625728,67.5713
339,2025-03-01 20:12:16,2219404,4625728,67.5769
340,2025-03-01 20:12:19,2219656,4625736,67.5745
341,2025-03-01 20:12:22,2219544,4625744,67.5756
342,2025-03-01 20:12:25,2219020,4625744,67.5808
343,2025-03-01 20:12:29,2219132,4625748,67.5797
344,2025-03-01 20:12:32,2218772,4625756,67.5833
345,2025-03-01 20:12:35,2218248,4625764,67.5885
346,2025-03-01 20:12:38,2218968,4625764,67.5814
347,2025-03-01 20:12:41,2218440,4625764,67.5866
348,2025-03-01 20:12:44,2218332,4625772,67.5877
349,2025-03-01 20:12:47,2218428,4625772,67.5867
350,2025-03-01 20:12:50,2218224,4625772,67.5888
351,2025-03-01 20:12:53,2217708,4625780,67.5939
352,2025-03-01 20:12:56,2217452,4625780,67.5964
353,2025-03-01 20:12:59,2216620,4625788,67.6047
354,2025-03-01 20:13:02,2216616,4625788,67.6047
355,2025-03-01 20:13:05,2216260,4625796,67.6083
356,2025-03-01 20:13:08,2216236,4625796,67.6085
357,2025-03-01 20:13:11,2216512,4625804,67.6058
358,2025-03-01 20:13:14,2216280,4625812,67.6082
359,2025-03-01 20:13:17,2216244,4625812,67.6085
360,2025-03-01 20:13:20,2216716,4625820,67.6039
361,2025-03-01 20:13:23,2217048,4625820,67.6006
362,2025-03-01 20:13:26,2217512,4625828,67.5961
363,2025-03-01 20:13:29,2217536,4625828,67.5958
364,2025-03-01 20:13:32,2217772,4625836,67.5935
365,2025-03-01 20:13:35,2217132,4625836,67.5998
366,2025-03-01 20:13:38,2217440,4625844,67.5968
367,2025-03-01 20:13:41,2217440,4625844,67.5968
368,2025-03-01 20:13:45,2216732,4625852,67.6039
369,2025-03-01 20:13:48,2217448,4625852,67.5968
370,2025-03-01 20:13:51,2218000,4625860,67.5914
371,2025-03-01 20:13:54,2218712,4625860,67.5844
372,2025-03-01 20:13:57,2218460,4625860,67.5868
373,2025-03-01 20:14:00,2218228,4625868,67.5892
374,2025-03-01 20:14:03,2217960,4625868,67.5918
375,2025-03-01 20:14:06,2217688,4625868,67.5945
376,2025-03-01 20:14:09,2217988,4625876,67.5916
377,2025-03-01 20:14:12,2217804,4625876,67.5934
378,2025-03-01 20:14:15,2217544,4625884,67.5960
379,2025-03-01 20:14:18,2217800,4625884,67.5935
380,2025-03-01 20:14:21,2217616,4625884,67.5953
381,2025-03-01 20:14:24,2217072,4625896,67.6007
382,2025-03-01 20:14:27,2217808,4625896,67.5935
383,2025-03-01 20:14:30,2217100,4625904,67.6005
384,2025-03-01 20:14:33,2217076,4625912,67.6008
385,2025-03-01 20:14:36,2218088,4625912,67.5908
386,2025-03-01 20:14:39,2217108,4625920,67.6005
387,2025-03-01 20:14:42,2217084,4625920,67.6007
388,2025-03-01 20:14:45,2216808,4625928,67.6035
389,2025-03-01 20:14:48,2216332,4625928,67.6082
390,2025-03-01 20:14:51,2216156,4625928,67.6099
391,2025-03-01 20:14:54,2216132,4625936,67.6102
392,2025-03-01 20:14:57,2215424,4625944,67.6172
393,2025-03-01 20:15:00,2215680,4625944,67.6147
394,2025-03-01 20:15:04,2219208,4626080,67.5805
395,2025-03-01 20:15:07,2218684,4626088,67.5857
396,2025-03-01 20:15:10,2217708,4626088,67.5954
397,2025-03-01 20:15:13,2217432,4626096,67.5981
398,2025-03-01 20:15:16,2217392,4626096,67.5985
399,2025-03-01 20:15:19,2217772,4626104,67.5948
400,2025-03-01 20:15:22,2217772,4626104,67.5948
401,2025-03-01 20:15:25,2217692,4626112,67.5956
402,2025-03-01 20:15:28,2218196,4626112,67.5906
403,2025-03-01 20:15:31,2217924,4626120,67.5934
404,2025-03-01 20:15:34,2217696,4626120,67.5956
405,2025-03-01 20:15:37,2217952,4626120,67.5931
406,2025-03-01 20:15:40,2218732,4626128,67.5854
407,2025-03-01 20:15:43,2218936,4626128,67.5834
408,2025-03-01 20:15:46,2219280,4626136,67.5801
409,2025-03-01 20:15:49,2219236,4626136,67.5805
410,2025-03-01 20:15:52,2219260,4626144,67.5803
411,2025-03-01 20:15:55,2218716,4626144,67.5857
412,2025-03-01 20:15:58,2219216,4626152,67.5808
413,2025-03-01 20:16:01,2219216,4626152,67.5808
414,2025-03-01 20:16:04,2219016,4626160,67.5828
415,2025-03-01 20:16:07,2218996,4626168,67.5830
416,2025-03-01 20:16:10,2219072,4626168,67.5823
417,2025-03-01 20:16:13,2218792,4626168,67.5850
418,2025-03-01 20:16:16,2218088,4626176,67.5920
419,2025-03-01 20:16:20,2217844,4626200,67.5945
420,2025-03-01 20:16:23,2217820,4626208,67.5948
421,2025-03-01 20:16:26,2217572,4626208,67.5973
422,2025-03-01 20:16:29,2221344,4626180,67.5599
423,2025-03-01 20:16:32,2220452,4626180,67.5687
424,2025-03-01 20:16:35,2220220,4626180,67.5710
425,2025-03-01 20:16:38,2219492,4626188,67.5782
426,2025-03-01 20:16:41,2219720,4626188,67.5760
427,2025-03-01 20:16:44,2219216,4626188,67.5809
428,2025-03-01 20:16:47,2218780,4626200,67.5853
429,2025-03-01 20:16:50,2218456,4626232,67.5886
430,2025-03-01 20:16:53,2218032,4626232,67.5928
431,2025-03-01 20:16:56,2217464,4626284,67.5987
432,2025-03-01 20:16:59,2217944,4626280,67.5939
433,2025-03-01 20:17:02,2217512,4626288,67.5982
434,2025-03-01 20:17:05,2217016,4626304,67.6032
435,2025-03-01 20:17:08,2216528,4626332,67.6082
436,2025-03-01 20:17:11,2216456,4626332,67.6089
437,2025-03-01 20:17:14,2215724,4626336,67.6161
438,2025-03-01 20:17:17,2218264,4626340,67.5911
439,2025-03-01 20:17:20,2217716,4626340,67.5965
440,2025-03-01 20:17:23,2217792,4626340,67.5957
441,2025-03-01 20:17:26,2218872,4626348,67.5851
442,2025-03-01 20:17:29,2219152,4626356,67.5824
443,2025-03-01 20:17:33,2220152,4626356,67.5725
444,2025-03-01 20:17:36,2220292,4626356,67.5711
445,2025-03-01 20:17:39,2219284,4626364,67.5811
446,2025-03-01 20:17:42,2219332,4626364,67.5806
447,2025-03-01 20:17:45,2219788,4626364,67.5761
448,2025-03-01 20:17:48,2220568,4626372,67.5685
449,2025-03-01 20:17:51,2221052,4626372,67.5637
450,2025-03-01 20:17:54,2221036,4626372,67.5638
451,2025-03-01 20:17:57,2221104,4626380,67.5632
452,2025-03-01 20:18:00,2221104,4626392,67.5633
453,2025-03-01 20:18:03,2221040,4626392,67.5639
